date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2019-01-01,443520,873482.4,899379.6000000001,106.4,1029310.8,inflation,201880.0,156.8,35215.6,192981.6,840,142962.4,19040,0,240114.0,535038.0,Freelance,420462.0,Investments,Positive,2324.0,Low,0.0,0
2019-01-31,292600,913483.2000000001,1045186.7999999999,28.0,730007.6,inflation,187600.0,117.6,127173.2,100895.2,1120,323234.80000000005,11480,0,149662.8,886256.0,Salary,448887.60000000003,Investments,Positive,6328.0,Low,0.0,0
2019-03-02,491680,820736.0,933962.4,42.0,841159.2,inflation,193480.0,67.2,272109.60000000003,0.0,1400,401245.6,25200,0,99027.6,421276.8,Freelance,307389.6,Healthcare,Positive,16464.0,Low,0.0,0
2019-04-01,482720,981901.2,651725.2000000001,47.6,937151.6,normal,200760.0,44.800000000000004,135172.8,50976.8,1400,63663.6,26320,0,166342.40000000002,406201.60000000003,Freelance,323579.2,Groceries,Positive,20860.0,Low,330176.0,0
2019-05-01,448000,1289923.5999999999,611122.4,95.2,747625.2000000001,inflation,222600.0,70.0,73847.2,95978.4,2520,165146.8,20440,0,155920.80000000002,280000.0,Salary,327840.8,Utilities,Negative,10836.0,High,678801.2,0
2019-05-31,555800,1127949.2,1085439.6,72.8,582321.6,recession,180040.0,120.39999999999999,90496.0,126310.8,2240,316688.39999999997,15680,0,120691.20000000001,652402.8,Salary,153627.59999999998,Healthcare,Positive,15036.0,Medium,42509.6,0
2019-06-30,334320,1160726.0,849970.8,42.0,620424.0,normal,191240.0,84.0,170766.4,204517.59999999998,2240,278633.6,19320,0,124180.0,800884.0,Freelance,178371.19999999998,Transportation,Positive,20916.0,High,310755.19999999995,0
2019-07-30,448000,896663.6,753062.8,70.0,1022134.4,normal,183400.0,67.2,146899.19999999998,62762.0,1120,205158.80000000002,18200,0,168806.4,987434.0,Salary,406890.4,Entertainment,Neutral,23268.0,Medium,143600.80000000002,0
2019-08-29,513800,1334230.7999999998,735996.7999999999,16.8,787866.7999999999,normal,200200.0,145.6,28924.0,0.0,1960,454454.0,27720,0,205427.59999999998,701022.0,Salary,469210.0,Education,Negative,20048.0,Low,598234.0,0
2019-09-28,407120,1002901.2,943824.0,36.4,614857.6,normal,209720.0,145.6,180174.4,73189.2,2520,295988.0,25480,0,130015.2,473552.8,Salary,191004.8,Entertainment,Positive,21812.0,High,59077.200000000004,0
2019-10-28,292600,1073158.8,904615.6,64.4,889887.6,normal,171080.0,53.2,88575.2,126725.2,2520,306776.4,20440,0,163993.2,848220.8,Mixed,351254.4,Investments,Positive,17500.0,Medium,168543.2,0
2019-11-27,379960,598301.2,964401.2,95.2,751844.7999999999,normal,187320.0,109.2,79886.8,147854.0,1400,550992.4,14840,0,79363.2,697818.8,Freelance,216714.4,Entertainment,Negative,10108.0,High,0.0,0
2019-12-27,392840,1529617.6,853801.2,81.19999999999999,832498.8,recession,187600.0,64.4,190363.6,77162.4,560,400783.6,11480,0,163142.0,415466.8,Salary,420800.8,Groceries,Positive,10920.0,Low,675816.4,0
2020-01-26,527520,590984.7999999999,758200.8,67.2,397804.4,recession,181160.0,89.60000000000001,92820.0,157774.4,1680,323019.2,24080,0,86648.79999999999,906144.4,Salary,221284.0,Insurance,Positive,4816.0,Medium,0.0,0
2020-02-25,469000,982041.2,745192.0,72.8,978073.6,normal,206920.0,112.0,182246.4,61614.0,1960,393534.4,20720,0,69549.2,791058.8,Salary,282758.0,Investments,Neutral,3136.0,Medium,236849.19999999998,0
2020-03-26,490000,587602.4,1291945.2,44.800000000000004,811050.8,normal,173600.0,81.19999999999999,183531.6,79769.2,280,386848.0,16240,0,138516.0,373142.0,Salary,243292.0,Dining Out,Positive,26376.0,Low,0.0,0
2020-04-25,342160,1029742.0,977149.6000000001,84.0,579132.4,normal,176680.0,36.4,143343.2,97249.59999999999,1960,484276.8,18480,280,101444.0,721386.4,Mixed,359710.4,Groceries,Negative,14000.0,Low,52592.4,0
2020-05-25,294000,527573.2000000001,773950.8,81.19999999999999,1093156.4000000001,normal,189280.0,114.8,154221.19999999998,110412.4,1680,473841.2,16520,0,177301.6,704925.2000000001,Mixed,332516.8,Dining Out,Positive,19208.0,Low,0.0,0
2020-06-24,345520,1035246.7999999999,986596.7999999999,47.6,874291.6,normal,208040.0,145.6,98434.0,69269.2,1680,138065.19999999998,17360,0,144729.19999999998,609560.0,Salary,257320.0,Dining Out,Negative,25368.0,Medium,48650.0,0
2020-07-24,405160,1323372.4,1105546.4000000001,39.2,711113.2000000001,normal,193480.0,134.4,103507.6,114752.4,1960,369698.0,26880,0,133980.0,518117.60000000003,Salary,260324.4,Transportation,Negative,20636.0,Low,217826.0,0
2020-08-23,377160,815141.6,528267.6,47.6,652582.0,normal,176680.0,145.6,125476.4,31446.8,1960,400752.8,9800,0,211677.2,486483.2,Salary,420316.4,Investments,Neutral,12180.0,High,286874.0,0
2020-09-22,537040,1112308.4000000001,782244.4,61.6,756142.8,normal,212520.0,123.2,131521.6,267540.0,1960,380688.0,22960,0,157864.0,645411.2,Mixed,332430.0,Insurance,Neutral,22316.0,Low,330064.0,0
2020-10-22,526120,1438318.0,692955.2000000001,78.4,794390.8,inflation,194320.0,70.0,120005.2,148290.80000000002,1960,292770.8,17920,0,121819.59999999999,812120.3999999999,Salary,264129.60000000003,Healthcare,Neutral,22792.0,Low,745362.8,0
2020-11-21,295960,1154781.6,759556.0,72.8,848223.6,normal,197680.0,58.8,86380.0,72447.2,1400,172326.0,26320,0,180045.6,471032.8,Salary,234945.2,Utilities,Neutral,21924.0,Low,395225.6,0
2020-12-21,316120,1294294.4,621462.8,50.4,711494.0,normal,185080.0,128.8,89174.40000000001,165586.4,840,645915.2000000001,7560,0,72954.0,462282.8,Salary,253016.4,Groceries,Negative,17948.0,Low,672831.6,0
2021-01-20,470400,1360696.4000000001,792598.8,112.0,746214.0,normal,170520.0,89.60000000000001,220407.59999999998,128727.2,560,215138.0,8680,0,52329.2,537947.2,Salary,451161.2,Healthcare,Positive,11144.0,Low,568097.6,0
2021-02-19,453880,1516023.5999999999,931980.0,28.0,758091.6,inflation,186200.0,156.8,151401.6,143441.19999999998,1400,345486.4,11480,0,131042.8,688982.0,Salary,270135.6,Transportation,Positive,13356.0,Medium,584043.6,0
2021-03-21,559440,1691902.8,628980.8,14.0,611998.8,inflation,173600.0,140.0,117404.0,162262.8,1400,423665.19999999995,6160,0,107500.40000000001,553204.4,Salary,118445.59999999999,Dining Out,Positive,7812.0,Medium,1062922.0,280
2021-04-20,296240,1238423.2,836959.2,89.60000000000001,701736.0,normal,185360.0,106.4,123289.59999999999,91350.0,2520,90258.0,25200,0,226564.8,280000.0,Salary,453292.0,Groceries,Negative,7644.0,High,401464.0,0
2021-05-20,373520,1123572.8,614233.2000000001,84.0,931910.0,normal,172760.0,148.4,201667.2,0.0,1680,327045.6,26880,0,51433.2,385008.39999999997,Freelance,137121.6,Entertainment,Negative,18312.0,Medium,509339.6,0
2021-06-19,351680,885810.8,1120156.8,61.6,769725.6,recession,173320.0,81.19999999999999,105814.8,192225.6,1680,395236.8,26880,0,61812.799999999996,669155.2000000001,Salary,335389.6,Entertainment,Negative,25060.0,Low,0.0,0
2021-07-19,397880,834500.8,583450.0,42.0,847352.8,recession,193200.0,64.4,102326.0,59777.200000000004,1680,127089.2,21840,0,26966.8,758755.2000000001,Salary,315781.2,Rent,Positive,23520.0,Medium,251050.80000000002,0
2021-08-18,407680,984477.2,917313.6,16.8,921009.6000000001,inflation,177240.0,33.6,134122.8,99114.40000000001,2240,97434.40000000001,10640,0,135203.6,710082.8,Salary,291776.8,Groceries,Positive,27664.0,Low,67163.6,0
2021-09-17,552720,1079408.4000000001,702878.4,112.0,855218.0,normal,206080.0,145.6,69367.2,62694.799999999996,2520,139406.4,6160,0,98574.0,568643.6,Freelance,278404.0,Insurance,Positive,22596.0,Low,376530.0,0
2021-10-17,484400,1043162.4,960654.7999999999,22.400000000000002,767062.8,normal,215880.0,120.39999999999999,164830.4,206130.4,2520,249258.80000000002,19600,0,0.0,469182.0,Salary,233783.2,Healthcare,Positive,24780.0,Medium,82507.6,0
2021-11-16,375200,1518610.7999999998,958927.2,109.2,740978.0,recession,201040.0,56.0,92556.8,170870.0,1120,206026.8,24080,0,153106.8,640385.2000000001,Salary,495093.2,Groceries,Positive,17528.0,Medium,559683.6,0
